App Employment ID,Position ID,Position Title,Position Direct Care,Is Primary,Start Date,End Date,Hours Per Week,Months Per Year,Net Yearly Income,Hourly Wage,Date Wage Increase,Verify Date,Last Update Date,Create Date,Verify Status Name,Is Verified,Infants  0-12 Months,Toddlers  13-36 Months,Preschoolers 37 Months-Pre-K,Elementary K-5th Grade,Middle 6th-8th Grade,Secondary (High School),Adults,Program Type Name,County
6,41,Program Administrator,TRUE,TRUE,9/26/1994,,40,12,0,0,,12/11/2009,12/11/2009,12/11/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
39,41,Program Administrator,TRUE,TRUE,9/1/1992,,40,12,0,0,,12/29/2009,2/11/2015,12/29/2009,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Flathead
45,51,Center/Preschool Director,TRUE,TRUE,8/1/1986,,40,12,37440,18,1/1/2018,6/19/2009,3/1/2018,7/2/2010,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Lewis and Clark
56,51,Center/Preschool Director,TRUE,TRUE,1/1/1989,,40,12,0,0,,4/2/2018,4/2/2018,8/1/2011,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
89,51,Center/Preschool Director,TRUE,FALSE,10/6/1999,,40,12,26000,12.5,,1/22/2015,1/22/2015,8/1/2011,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
137,33,Early Childhood Teacher,TRUE,TRUE,6/1/1999,,40,12,0,0,,6/12/2009,6/1/2018,6/12/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
137,33,Early Childhood Teacher,TRUE,TRUE,6/1/1999,,40,12,0,0,,6/12/2009,6/1/2018,6/12/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
169,51,Center/Preschool Director,TRUE,TRUE,9/1/1999,,15,12,0,0,,6/16/2009,6/4/2018,8/1/2011,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
169,51,Center/Preschool Director,TRUE,TRUE,9/1/1999,,15,12,0,0,,6/16/2009,6/4/2018,8/1/2011,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
170,51,Center/Preschool Director,TRUE,FALSE,8/1/2013,,15,12,0,0,,9/9/2011,6/4/2018,8/1/2011,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
170,51,Center/Preschool Director,TRUE,FALSE,8/1/2013,,15,12,0,0,,9/9/2011,6/4/2018,8/1/2011,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
173,41,Program Administrator,TRUE,TRUE,8/1/1995,,40,12,0,0,,9/17/2009,5/13/2015,9/17/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
205,51,Center/Preschool Director,TRUE,TRUE,7/1/2001,,20,12,0,0,,6/18/2009,3/6/2015,8/1/2011,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
207,52,Professional Development Specialist/Trainer,TRUE,FALSE,6/1/1998,,15,12,23400,30,6/1/2008,9/28/2011,11/1/2017,8/15/2011,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Flathead
305,33,Early Childhood Teacher,TRUE,TRUE,1/2/1992,,40,12,0,0,,12/22/2009,2/11/2015,12/22/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Flathead
352,51,Center/Preschool Director,TRUE,TRUE,8/1/2000,,40,12,0,0,,4/26/2018,4/26/2018,4/13/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Dawson
430,41,Program Administrator,TRUE,TRUE,12/1/1998,,40,12,0,0,,4/30/2009,4/30/2009,4/30/2009,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
438,33,Early Childhood Teacher,TRUE,TRUE,12/20/1994,,40,12,38480,18.5,,11/24/2009,10/30/2017,11/2/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
438,33,Early Childhood Teacher,TRUE,TRUE,12/20/1994,,40,12,38480,18.5,,11/24/2009,10/30/2017,11/2/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
439,32,Registered Group Child Care Home,TRUE,TRUE,1/1/1999,,40,12,0,0,,6/26/2009,6/26/2009,6/26/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Lake
445,33,Early Childhood Teacher,TRUE,TRUE,7/9/2001,,40,12,0,0,,3/19/2009,5/3/2010,5/3/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Lewis and Clark
